"id","stateuts","stateid","statecode","totalcases","active","discharged","deaths","activeratio","dischargeratio","deathsratio","population"
34,"UttarPradesh","UP",9,1710451,116,1687424,22911,0.01,98.65,1.34,231502578
21,"Maharashtra","MAHA",27,6638071,10803,6486105,141163,0.16,97.71,2.13,124904071
